cve_mun,municipio,pob_total,pob_indigena,pob_afrodescendiente,viv,viv_internet,viv_computadoras,viv_celular,ind_rez_social,grad_rez_social,ind_margi,grad_margi,pobr,pobr_ext,pobr_mod,pob_vuln_carencias,pob_vuln_ingresos,pob_no_vuln,rez_educativo,pob_car_hogar,pob_car_salud,pob_car_seg_social,pob_car_ser_basicos,pob_car_alimentacion,pob_car_al_una,pon_car_al_tres,pob_bajo_linea_asist,pob_bajo_linea_min_asist,gini,tasa_ingresos,cama_hospital,cama_fuera_hospital,cama_rec_nac,consultorios,equipamento,medicos_otros,medicos_gen_esp_odont,otro_pers,otro_pers_prof,enfermeria_contac_paciente,enfermeria_otras,medicos_adiest,per_tecnico,total_elementos_salud,tasa_alfa_1524,localidades_por_mun,pob_de_3_a_5_anos,pob_de_6_a_11_anos,pob_de_8_a_14_anos,pob_de_15_anos_y_mas,pob_de_15_anos_y_mas_sin_escolaridad,pob_de_15_anos_y_mas_con_prim_incompleta,pob_de_15_anos_y_mas_con_sec_incompleta,pob_que_habla_lengua_indigena,pob_de_3_anos_y_mas_que_habla_alguna_lengua_indig_y_no_habla_espanol,pob_con_discapacidad,pob_de_3_a_5_anos_que_no_asiste_a_la_escuela,pob_de_6_a_11_anos_que_no_asiste_a_la_escuela,pob_de_12_a_14_anos_que_no_asiste_a_la_escuela,grado_promedio_de_escolaridad,sbasc,ovsde,ovsee,ovsae,ovpt,vhac,pl_5000,po2sm,lugar_que_ocupa_en_el_contexto_estatal,lugar_que_ocupa_en_el_contexto_nacional,escuelas_prees,alumnos_prees,docentes_prees,total_de_grupos_prescolar,grupos_multi_grado_prees,escuelas_prim,alumnos_prim,docentes_prim,nuevo_ingreso_prim,total_de_grupos_prim,grupos_multi_grado_prim,escuelas_sec,alumnos_sec,docentes_sec,nuevo_ingreso_sec,total_de_grupos_sec,grupos_multi_grado_sec,tasa_de_analfabetizacion,tasa_de_escolarizacion_prees,tasa_de_escolarizacion_prim,tasa_de_escolarizacion_sec,rezago_educativo,tasa_de_grupos_multigrado_prees,tasa_de_grupos_multigrado_prim,tasa_de_grupos_multigrado_sec,indice_de_dispersion_prees,indice_de_dispersion_prim,indice_de_dispersion_sec,clasificacion_escolaridad_prees,clasificacion_escolaridad_prim,clasificacion_escolaridad_sec,clasificacion_dispersion_educativa_prees,clasificacion_dispersion_educativa_prim,clasificacion_dispersion_educativa_sec,denue_density_per_1000,pct_semifijo,share_micro,share_small,share_medium,share_large,denue_num_estab,denue_num_fijos,denue_empleo_estimado,preescolar_o_k_nder_percentage,pct_pob_primaria,pct_pob_secundaria,preparatoria_o_bachillerato_general_percentage,bachillerato_tecnol_gico_o_normal_b_sica_percentage,estudios_t_cnicos_o_comerciales_con_prim_percentage,estudios_t_cnicos_o_comerciales_con_secu_percentage,estudios_t_cnicos_o_comerciales_con_prep_percentage,normal_con_primaria_o_secundaria_termina_percentage,normal_de_licenciatura_percentage,licenciatura_percentage,especialidad_percentage,maestr_a_percentage,doctorado_percentage,indice_carencia_compuesto,pct_hacinamiento,pct_agua_entubada,pct_drenaje,pct_piso_tierra,pct_uso_lena
20097,San Andrés Solaga,1771,1708,3,526,52,32,277,0.655867,Medio,52.67810182,Medio,1345,344,1001,279,98,50,687,545,526,1279,579,40,1624,617,1443,802,0.3869536618,0.1913256645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.0,3,81,143,187,1389,55,334,45,1531,89,61,14,5,12,6.38,73.2516222062004,0.0579038795599305,0.579038795599305,0.0579038795599305,28.2570932252461,20.5714282989502,100.0,96.8277945619335,327,799,3,79,4,4,4,3,141,9,137,10,3,1,41,5,41,5,0,6.983441325,97.5308642,98.6013986,21.92513369,34.26925846,100.0,30.0,0.0,1.0,1.0,3.0,Alto,Alto,Bajo,Bajo,Bajo,Bajo,33.532934131736525,0.0,87.5,12.5,0.0,0.0,56,56,215.0,0.3145258463744506,34.98721851644701,28.486342018235668,18.53236286650576,1.8508188783075137,0.092792444472806,0.3624986392693721,0.56816603541278,0.1706825424829486,0.9076167131504762,12.646611686893069,0.1739858333865113,0.7903498860740013,0.1160280929876389,15.437262357414449,2.66,0.19,1.33,73.0,0.0
20098,San Andrés Teotilálpam,4233,3172,14,1122,272,88,418,1.449082,Alto,50.31492935,Alto,3842,1874,1967,363,10,21,1508,1388,949,3647,3879,1934,4204,3039,3851,2407,0.347311,0.1545716673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.5,23,234,494,666,2945,334,791,115,1748,58,613,65,2,17,6.23,61.7657045840407,1.00430416068867,2.79770444763271,4.6389287422286,16.0688665710186,37.2321434020996,100.0,94.553706505295,179,387,8,226,13,13,7,10,434,28,425,28,10,5,237,16,235,16,1,19.72835314,96.58119658,87.85425101,35.58558559,50.49235993,53.84615385,35.71428571,6.25,2.875,2.3,4.6,Alto,Alto,Bajo,Bajo,Bajo,Medio,28.24858757062147,2.4,92.8,7.2,0.0,0.0,125,122,444.0,0.3145258463744506,34.98721851644701,28.486342018235668,18.53236286650576,1.8508188783075137,0.092792444472806,0.3624986392693721,0.56816603541278,0.1706825424829486,0.9076167131504762,12.646611686893069,0.1739858333865113,0.7903498860740013,0.1160280929876389,38.68092691622103,13.99,5.97,91.44,82.0,0.0
20099,San Andrés Tepetlapa,381,1,0,114,4,5,35,1.382834,Alto,48.39846263,Muy alto,369,192,177,12,0,0,171,109,56,325,343,128,381,252,369,282,0.363762329,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.9,1,22,44,58,268,79,42,5,1,0,67,7,1,4,4.86,70.5468558845119,6.56167979002625,0.0,3.1496062992126,17.0603674540682,38.596492767334,100.0,94.0476190476191,78,177,1,18,2,2,1,1,49,5,49,5,5,1,22,2,22,3,0,33.20895522,81.81818182,111.3636364,37.93103448,50.74626866,50.0,100.0,0.0,1.0,1.0,1.0,Alto,Alto,Bajo,Bajo,Bajo,Bajo,61.440677966101696,0.0,93.10344827586206,6.896551724137931,0.0,0.0,29,29,109.0,0.3145258463744506,34.98721851644701,28.486342018235668,18.53236286650576,1.8508188783075137,0.092792444472806,0.3624986392693721,0.56816603541278,0.1706825424829486,0.9076167131504762,12.646611686893069,0.1739858333865113,0.7903498860740013,0.1160280929876389,25.61403508771929,7.89,5.26,35.09,79.82,0.0
20100,San Andrés Yaá,393,393,5,154,20,8,40,1.291092,Alto,50.08426284,Alto,308,69,239,51,13,21,176,73,60,205,239,39,359,120,321,191,0.3778433303,0.2014933378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.7,4,14,29,29,324,89,61,4,344,83,22,4,1,2,5.18,73.1481481481482,1.78117048346056,2.79898218829517,1.01781170483461,19.0839694656489,14.9350652694702,100.0,89.7297297297297,163,358,1,10,1,3,3,1,26,2,25,2,2,0,0,0,0,0,0,28.7037037,71.42857143,89.65517241,0.0,48.7654321,100.0,100.0,0.0,4.0,4.0,0.0,Medio,Alto,Bajo,Medio,Medio,Bajo,61.611374407582936,3.8461538461538463,76.92307692307692,23.07692307692308,0.0,0.0,26,25,120.0,0.3145258463744506,34.98721851644701,28.486342018235668,18.53236286650576,1.8508188783075137,0.092792444472806,0.3624986392693721,0.56816603541278,0.1706825424829486,0.9076167131504762,12.646611686893069,0.1739858333865113,0.7903498860740013,0.1160280929876389,18.96103896103896,0.65,1.95,14.29,77.92,0.0
20101,San Andrés Zabache,748,246,9,208,54,15,111,1.279723,Alto,49.52641913,Alto,643,312,331,101,1,3,345,290,230,637,629,231,744,525,644,393,0.380910337,0.2165700048,0,0,0,1,0,0,1,0,0,1,0,0,0,3,99.0,1,45,66,82,563,103,143,24,93,2,95,8,1,4,5.53,70.6927175843694,2.15343203230148,1.74966352624495,3.36473755047106,29.3405114401077,24.2718448638916,100.0,92.3423423423423,133,291,1,43,2,2,1,2,43,3,43,3,3,1,41,2,41,3,0,24.51154529,95.55555556,65.15151515,50.0,54.1740675,50.0,100.0,0.0,1.0,0.5,1.0,Alto,Medio,Medio,Bajo,Bajo,Bajo,100.13531799729364,4.054054054054054,94.5945945945946,5.405405405405405,0.0,0.0,74,71,242.0,0.3145258463744506,34.98721851644701,28.486342018235668,18.53236286650576,1.8508188783075137,0.092792444472806,0.3624986392693721,0.56816603541278,0.1706825424829486,0.9076167131504762,12.646611686893069,0.1739858333865113,0.7903498860740013,0.1160280929876389,26.346153846153847,1.92,3.85,58.65,67.31,0.0
20102,San Andrés Zautla,5326,776,167,1442,454,384,1221,-0.050008,Bajo,53.65556228,Medio,2354,500,1854,1964,143,867,803,1026,1579,3522,2090,1084,4318,1742,2498,837,0.432792326,0.1268559992,0,0,0,3,0,0,5,0,0,3,0,1,0,12,100.0,20,259,557,649,4018,113,360,160,293,6,377,84,19,20,9.47,33.9980059820538,1.314307172362,2.47840781073977,21.4795343597446,9.42546000751033,23.1741580963135,100.0,76.6245487364621,414,1046,3,94,8,8,3,3,262,23,262,23,17,1,99,3,99,3,0,3.036336486,36.29343629,47.03770197,15.25423729,15.97809856,37.5,73.91304348,0.0,6.666666667,6.666666667,20.0,Bajo,Bajo,Bajo,Alto,Alto,Alto,41.74228675136116,2.1739130434782608,97.82608695652172,2.1739130434782608,0.0,0.0,184,180,608.0,0.3145258463744506,34.98721851644701,28.486342018235668,18.53236286650576,1.8508188783075137,0.092792444472806,0.3624986392693721,0.56816603541278,0.1706825424829486,0.9076167131504762,12.646611686893069,0.1739858333865113,0.7903498860740013,0.1160280929876389,23.744798890429955,6.17,19.07,16.64,76.84,0.0
20103,San Antonino Castillo Velasco,6064,1918,54,1614,530,271,1360,0.793025,Medio,49.86951219,Alto,4354,1459,2895,1580,32,101,2153,2583,3212,5121,4512,1756,5934,4223,4386,1729,0.3782570064,0.173826997,0,0,0,3,0,0,5,2,1,3,0,0,2,16,94.1,5,321,615,732,4527,327,944,208,726,4,386,105,22,56,7.31,58.9198760513502,0.978116710875332,0.29840848806366,53.1664456233422,27.5364721485411,30.6905364990234,4.28759894459103,84.9323686693929,155,333,2,74,7,7,1,3,140,10,140,9,4,1,252,13,252,9,0,8.327810912,23.0529595,22.76422764,34.42622951,33.77512702,14.28571429,44.44444444,0.0,2.5,1.666666667,5.0,Bajo,Bajo,Bajo,Bajo,Bajo,Medio,105.42971352431712,15.797788309636651,96.2085308056872,3.6334913112164298,0.1579778830963665,0.0,633,533,2274.0,0.3145258463744506,34.98721851644701,28.486342018235668,18.53236286650576,1.8508188783075137,0.092792444472806,0.3624986392693721,0.56816603541278,0.1706825424829486,0.9076167131504762,12.646611686893069,0.1739858333865113,0.7903498860740013,0.1160280929876389,30.768277571251552,11.4,68.15,9.54,64.75,0.0
20104,San Antonino el Alto,2705,1832,310,709,159,74,303,1.203692,Alto,51.93156296,Alto,2423,831,1593,231,40,11,723,803,367,1900,2522,374,2655,1273,2463,1609,0.3460346659,0.201900666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.2,15,168,316,409,1900,150,337,68,975,5,160,20,9,16,7.17,49.5263157894737,0.600375234521576,2.92682926829268,0.525328330206379,21.8386491557223,35.5021209716797,100.0,95.9302325581395,278,635,6,158,11,12,4,6,599,31,599,31,20,2,138,9,138,9,0,10.15789474,94.04761905,189.556962,33.7408313,31.47368421,33.33333333,64.51612903,0.0,2.5,2.5,7.5,Alto,Alto,Bajo,Bajo,Bajo,Alto,47.966231772831925,1.6,93.6,6.4,0.0,0.0,125,123,483.0,0.3145258463744506,34.98721851644701,28.486342018235668,18.53236286650576,1.8508188783075137,0.092792444472806,0.3624986392693721,0.56816603541278,0.1706825424829486,0.9076167131504762,12.646611686893069,0.1739858333865113,0.7903498860740013,0.1160280929876389,34.27362482369534,7.48,0.71,86.32,76.87,0.0
20105,San Antonino Monte Verde,7678,7588,793,1969,436,156,991,0.475729,Medio,53.18790204,Medio,7165,2773,4392,441,48,28,1649,1372,1361,6765,4858,3231,7606,3687,7213,5259,0.3586050073,0.135337996,0,0,0,2,1,0,2,0,0,3,0,1,0,9,99.1,13,490,1032,1250,5185,525,701,144,6790,534,417,55,12,16,6.77,50.6075216972035,0.91767173571054,0.747246984792868,0.498164656528579,11.6019926586261,30.1462898254395,100.0,92.8088506453596,376,927,9,500,26,26,3,9,925,58,902,58,3,6,457,26,457,26,0,12.43972999,102.0408163,89.63178295,36.56,28.7367406,11.53846154,5.172413793,0.0,1.444444444,1.444444444,2.166666667,Alto,Alto,Bajo,Bajo,Bajo,Bajo,26.9678302532512,1.015228426395939,95.93908629441624,4.060913705583756,0.0,0.0,197,195,667.0,0.3145258463744506,34.98721851644701,28.486342018235668,18.53236286650576,1.8508188783075137,0.092792444472806,0.3624986392693721,0.56816603541278,0.1706825424829486,0.9076167131504762,12.646611686893069,0.1739858333865113,0.7903498860740013,0.1160280929876389,25.66785170137125,3.76,0.96,40.07,83.54,0.0
20106,San Antonio Acutla,249,32,90,83,12,12,43,0.467169,Medio,53.56904492,Medio,138,7,131,61,25,24,67,17,27,137,52,29,199,26,164,53,0.3097519974,0.2451833288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.3,7,13,17,26,197,24,29,4,28,1,18,2,1,0,6.6,67.005076142132,2.00803212851406,0.0,0.0,2.81124497991968,18.0722885131836,100.0,90.7216494845361,408,1028,1,12,1,1,1,1,17,2,17,2,2,0,0,0,0,0,0,16.24365482,92.30769231,100.0,0.0,32.99492386,100.0,100.0,0.0,7.0,7.0,0.0,Alto,Alto,Bajo,Alto,Alto,Bajo,60.24096385542169,6.666666666666667,86.66666666666667,13.333333333333334,0.0,0.0,15,14,55.0,0.3145258463744506,34.98721851644701,28.486342018235668,18.53236286650576,1.8508188783075137,0.092792444472806,0.3624986392693721,0.56816603541278,0.1706825424829486,0.9076167131504762,12.646611686893069,0.1739858333865113,0.7903498860740013,0.1160280929876389,20.0,4.82,0.0,3.61,91.57,0.0
