cve_mun,municipio_norm,municipio,grad_margi,grad_rez_social,conectividad,servicios_basicos,elementos_salud,educacion,desigualdad,dependencia_economica,calidad_vivienda,seguridad_alimentaria,seguridad_social
20182,sanjuanbautistatlacoatzintepec,San Juan Bautista Tlacoatzintepec,Alto,Muy alto,Muy bajo,Muy bajo,,Alto,Medio,Medio,Medio,Bajo,Medio
20183,sanjuanbautistatlachichilco,San Juan Bautista Tlachichilco,Alto,Medio,Muy bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Medio
20184,sanjuanbautistatuxtepec,San Juan Bautista Tuxtepec,Bajo,Bajo,Medio,Bajo,Alto,Medio,Alto,Medio,Medio,Bajo,Muy bajo
20185,sanjuancacahuatepec,San Juan Cacahuatepec,Medio,Bajo,Bajo,Muy bajo,Bajo,Medio,Alto,Medio,Bajo,Bajo,Medio
20186,sanjuancieneguilla,San Juan Cieneguilla,Medio,Bajo,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Alto,Alto
20187,sanjuancoatzospam,San Juan Coatzóspam,Alto,Alto,Muy bajo,Muy bajo,,Alto,Medio,Alto,Medio,Bajo,Medio
20188,sanjuancolorado,San Juan Colorado,Alto,Alto,Bajo,Muy bajo,Medio,Medio,Alto,Medio,Medio,Muy bajo,Medio
20189,sanjuancomaltepec,San Juan Comaltepec,Muy alto,Muy alto,Bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Bajo,Alto
20190,sanjuancotzocon,San Juan Cotzocón,Alto,Medio,Bajo,Muy bajo,Alto,Medio,Medio,Medio,Medio,Bajo,Bajo
20191,sanjuanchicomezuchil,San Juan Chicomezúchil,Medio,Bajo,Medio,Bajo,Alto,Bajo,Medio,Alto,Medio,Medio,Alto
20192,sanjuanchilateca,San Juan Chilateca,Muy bajo,Muy bajo,Medio,Medio,,Bajo,Alto,Medio,Medio,Alto,Bajo
20193,sanjuandelestado,San Juan del Estado,Bajo,Bajo,Medio,Medio,,Bajo,Medio,Alto,Medio,Medio,Bajo
20194,sanjuandelrio,San Juan del Río,Medio,Bajo,Bajo,Bajo,,Medio,Medio,Alto,Medio,Alto,Bajo
20195,sanjuandiuxi,San Juan Diuxi,Muy alto,Muy alto,Muy bajo,Muy bajo,,Alto,Medio,Alto,Medio,Bajo,Medio
20196,sanjuanevangelistaanalco,San Juan Evangelista Analco,Bajo,Bajo,Medio,Bajo,Alto,Bajo,Medio,Alto,Medio,Alto,Medio
20197,sanjuanguelavia,San Juan Guelavía,Medio,Bajo,Bajo,Bajo,,Medio,Medio,Alto,Medio,Medio,Medio
20198,sanjuanguichicovi,San Juan Guichicovi,Alto,Medio,Bajo,Muy bajo,Bajo,Alto,Medio,Medio,Medio,Bajo,Medio
20199,sanjuanihualtepec,San Juan Ihualtepec,Alto,Medio,Muy bajo,Muy bajo,,Alto,Medio,Alto,Medio,Bajo,Medio
20200,sanjuanjuquilamixes,San Juan Juquila Mixes,Alto,Muy alto,Bajo,Muy bajo,Muy bajo,Alto,Medio,Medio,Medio,Medio,Medio
20201,sanjuanjuquilavijanos,San Juan Juquila Vijanos,Alto,Alto,Bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Alto,Medio
20202,sanjuanlachao,San Juan Lachao,Alto,Medio,Bajo,Muy bajo,Medio,Medio,Medio,Medio,Medio,Medio,Alto
20203,sanjuanlachigalla,San Juan Lachigalla,Muy alto,Alto,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Medio
20204,sanjuanlajarcia,San Juan Lajarcia,Medio,Bajo,Bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Bajo,Medio
20205,sanjuanlalana,San Juan Lalana,Muy alto,Alto,Muy bajo,Muy bajo,Muy bajo,Alto,Medio,Medio,Medio,Muy bajo,Bajo
20206,sanjuandeloscues,San Juan de los Cués,Alto,Medio,Bajo,Muy bajo,Bajo,Medio,Alto,Medio,Medio,Medio,Medio
20207,sanjuanmazatlan,San Juan Mazatlán,Alto,Alto,Bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Bajo,Medio
20208,sanjuanmixtepec,San Juan Mixtepec,Alto,Alto,Bajo,Muy bajo,Medio,Alto,Medio,Alto,Medio,Bajo,Bajo
20209,sanjuanmixtepec,San Juan Mixtepec,Alto,Alto,Muy bajo,Medio,Alto,Alto,Medio,Alto,Medio,Alto,Medio
20210,sanjuannumi,San Juan Ñumí,Alto,Alto,Bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Bajo,Medio
20211,sanjuanozolotepec,San Juan Ozolotepec,Alto,Alto,Muy bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Bajo,Alto
20212,sanjuanpetlapa,San Juan Petlapa,Muy alto,Muy alto,Muy bajo,Muy bajo,Muy bajo,Alto,Medio,Medio,Medio,Muy bajo,Medio
20213,sanjuanquiahije,San Juan Quiahije,Alto,Alto,Medio,Muy bajo,Muy bajo,Alto,Medio,Alto,Medio,Medio,Alto
20214,sanjuanquiotepec,San Juan Quiotepec,Alto,Medio,Bajo,Bajo,,Alto,Medio,Alto,Medio,Medio,Alto
20215,sanjuansayultepec,San Juan Sayultepec,Bajo,Bajo,Bajo,Muy bajo,,Bajo,Medio,Alto,Medio,Medio,Medio
20216,sanjuantabaa,San Juan Tabaá,Medio,Medio,Bajo,Medio,Medio,Medio,Medio,Alto,Medio,Alto,Medio
20217,sanjuantamazola,San Juan Tamazola,Muy alto,Muy alto,Muy bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Bajo,Medio
20218,sanjuanteita,San Juan Teita,Alto,Alto,Muy bajo,Muy bajo,,Medio,Medio,,Medio,Bajo,Alto
20219,sanjuanteitipac,San Juan Teitipac,Alto,Medio,Medio,Muy bajo,Alto,Medio,Medio,Alto,Medio,Medio,Medio
20220,sanjuantepeuxila,San Juan Tepeuxila,Medio,Medio,Muy bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Medio,Alto
20221,sanjuanteposcolula,San Juan Teposcolula,Medio,Medio,Bajo,Bajo,,Medio,Medio,Medio,Medio,Medio,Medio
20222,sanjuanyaee,San Juan Yaeé,Medio,Medio,Muy bajo,Bajo,Medio,Medio,Medio,Alto,Medio,Alto,Alto
20223,sanjuanyatzona,San Juan Yatzona,Bajo,Bajo,Bajo,Medio,Alto,Medio,Medio,Alto,Medio,Bajo,Medio
20224,sanjuanyucuita,San Juan Yucuita,Medio,Bajo,Bajo,Bajo,Alto,Bajo,Alto,Medio,Medio,Alto,Medio
20225,sanlorenzo,San Lorenzo,Muy alto,Alto,Muy bajo,Muy bajo,,Alto,Medio,Alto,Medio,Muy bajo,Medio
20226,sanlorenzoalbarradas,San Lorenzo Albarradas,Medio,Bajo,Bajo,Bajo,Medio,Medio,Medio,Alto,Medio,Medio,Medio
20227,sanlorenzocacaotepec,San Lorenzo Cacaotepec,Muy bajo,Muy bajo,Medio,Medio,Bajo,Bajo,Medio,Alto,Medio,Medio,Bajo
20228,sanlorenzocuaunecuiltitla,San Lorenzo Cuaunecuiltitla,Alto,Alto,Muy bajo,Muy bajo,Medio,Alto,Medio,Alto,Bajo,Medio,Alto
20229,sanlorenzotexmelucan,San Lorenzo Texmelúcan,Muy alto,Muy alto,Muy bajo,Muy bajo,Muy bajo,Alto,Medio,Medio,Medio,Medio,Alto
20230,sanlorenzovictoria,San Lorenzo Victoria,Medio,Bajo,Bajo,Bajo,Alto,Medio,Medio,Alto,Bajo,Bajo,Bajo
20231,sanlucascamotlan,San Lucas Camotlán,Muy alto,Muy alto,Muy bajo,Muy bajo,Medio,Alto,Alto,Medio,Medio,Alto,Alto
20232,sanlucasojitlan,San Lucas Ojitlán,Muy alto,Alto,Bajo,Muy bajo,Medio,Medio,Alto,Medio,Medio,Muy bajo,Medio
20233,sanlucasquiavini,San Lucas Quiaviní,Alto,Medio,Bajo,Bajo,Medio,Alto,Medio,Medio,Medio,Alto,Bajo
20234,sanlucaszoquiapam,San Lucas Zoquiápam,Muy alto,Muy alto,Muy bajo,Muy bajo,Muy bajo,Alto,Medio,Medio,Medio,Bajo,Alto
20235,sanluisamatlan,San Luis Amatlán,Alto,Medio,Bajo,Muy bajo,Bajo,Alto,Medio,Alto,Medio,Medio,Medio
20236,sanmarcialozolotepec,San Marcial Ozolotepec,Muy alto,Muy alto,Bajo,Muy bajo,,Alto,Medio,Alto,Medio,Bajo,Alto
20237,sanmarcosarteaga,San Marcos Arteaga,Bajo,Bajo,Bajo,Medio,,Medio,Medio,Alto,Medio,Bajo,Bajo
20238,sanmartindeloscansecos,San Martín de los Cansecos,Medio,Medio,Medio,Muy bajo,,Medio,Medio,Alto,Medio,Medio,Bajo
20239,sanmartinhuamelulpam,San Martín Huamelúlpam,Medio,Medio,Bajo,Muy bajo,Alto,Medio,Medio,Alto,Medio,Medio,Alto
20240,sanmartinitunyoso,San Martín Itunyoso,Muy alto,Muy alto,Muy bajo,Muy bajo,Bajo,Alto,Medio,,Medio,Muy bajo,Medio
20241,sanmartinlachila,San Martín Lachilá,Medio,Medio,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Bajo
20242,sanmartinperas,San Martín Peras,Muy alto,Muy alto,Bajo,Muy bajo,Muy bajo,Alto,Alto,Medio,Medio,Bajo,Medio
20243,sanmartintilcajete,San Martín Tilcajete,Bajo,Bajo,Medio,Bajo,Alto,Bajo,Medio,Medio,Medio,Medio,Bajo
20244,sanmartintoxpalan,San Martín Toxpalan,Alto,Medio,Medio,Muy bajo,Medio,Medio,Alto,Medio,Medio,Bajo,Medio
20245,sanmartinzacatepec,San Martín Zacatepec,Alto,Medio,Bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Bajo,Medio
20246,sanmateocajonos,San Mateo Cajonos,Medio,Medio,Bajo,Bajo,Alto,Medio,Medio,Alto,Medio,Medio,Alto
20247,capulalpamdemendez,Capulálpam de Méndez,Muy bajo,Muy bajo,Medio,Alto,Alto,Bajo,Alto,Alto,Medio,Alto,Medio
20248,sanmateodelmar,San Mateo del Mar,Muy alto,Muy alto,Bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Bajo,Medio
20249,sanmateoyoloxochitlan,San Mateo Yoloxochitlán,Alto,Alto,Bajo,Muy bajo,Bajo,Medio,Alto,Medio,Medio,Bajo,Medio
20250,sanmateoetlatongo,San Mateo Etlatongo,Medio,Medio,Medio,Muy bajo,Medio,Bajo,Medio,Medio,Medio,Bajo,Alto
20251,sanmateonejapam,San Mateo Nejápam,Alto,Alto,Muy bajo,Muy bajo,Muy bajo,Alto,Medio,,Bajo,Bajo,Alto
20252,sanmateopenasco,San Mateo Peñasco,Alto,Alto,Muy bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Medio,Medio
20253,sanmateopinas,San Mateo Piñas,Muy alto,Muy alto,Muy bajo,Muy bajo,,Medio,Medio,Medio,Medio,Bajo,Bajo
20254,sanmateoriohondo,San Mateo Río Hondo,Alto,Alto,Bajo,Bajo,,Medio,Medio,Alto,Medio,Medio,Medio
20255,sanmateosindihui,San Mateo Sindihui,Alto,Medio,Bajo,Muy bajo,,Alto,Medio,Alto,Medio,Bajo,Medio
20256,sanmateotlapiltepec,San Mateo Tlapiltepec,Medio,Bajo,Bajo,Bajo,Alto,Medio,Medio,Alto,Medio,Medio,Alto
20257,sanmelchorbetaza,San Melchor Betaza,Alto,Alto,Muy bajo,Muy bajo,Medio,Alto,Medio,Muy alto,Medio,Bajo,Medio
20258,sanmiguelachiutla,San Miguel Achiutla,Alto,Medio,Bajo,Muy bajo,Alto,Medio,Medio,Medio,Medio,Bajo,Medio
20259,sanmiguelahuehuetitlan,San Miguel Ahuehuetitlán,Alto,Alto,Muy bajo,Muy bajo,Muy bajo,Alto,Medio,Alto,Bajo,Bajo,Alto
20260,sanmiguelaloapam,San Miguel Aloápam,Alto,Medio,Bajo,Muy bajo,Alto,Medio,Medio,Alto,Medio,Medio,Medio
20261,sanmiguelamatitlan,San Miguel Amatitlán,Alto,Medio,Muy bajo,Muy bajo,Medio,Medio,Medio,Alto,Bajo,Bajo,Alto
20262,sanmiguelamatlan,San Miguel Amatlán,Bajo,Bajo,Bajo,Medio,Alto,Bajo,Medio,Alto,Medio,Alto,Medio
20263,sanmiguelcoatlan,San Miguel Coatlán,Alto,Alto,Bajo,Muy bajo,Medio,Alto,Medio,Alto,Medio,Bajo,Alto
20264,sanmiguelchicahua,San Miguel Chicahua,Alto,Alto,Bajo,Muy bajo,Medio,Alto,Medio,Medio,Medio,Bajo,Alto
20265,sanmiguelchimalapa,San Miguel Chimalapa,Alto,Medio,Muy bajo,Muy bajo,Medio,Medio,Medio,Medio,Medio,Bajo,Medio
20266,sanmigueldelpuerto,San Miguel del Puerto,Alto,Alto,Bajo,Muy bajo,Bajo,Medio,Medio,Medio,Bajo,Medio,Medio
20267,sanmigueldelrio,San Miguel del Río,Bajo,Bajo,Bajo,Bajo,,Bajo,Medio,Alto,Medio,Alto,Bajo
20268,sanmiguelejutla,San Miguel Ejutla,Medio,Bajo,Medio,Bajo,Medio,Medio,Medio,Alto,Medio,Medio,Bajo
20269,sanmiguelelgrande,San Miguel el Grande,Medio,Alto,Bajo,Muy bajo,Medio,Medio,Alto,Medio,Medio,Medio,Alto
20270,sanmiguelhuautla,San Miguel Huautla,Muy alto,Muy alto,Muy bajo,Muy bajo,Alto,Medio,Medio,Alto,Medio,Bajo,Alto
20271,sanmiguelmixtepec,San Miguel Mixtepec,Muy alto,Muy alto,Muy bajo,Muy bajo,Medio,Alto,Medio,Medio,Medio,Muy bajo,Medio
20272,sanmiguelpanixtlahuaca,San Miguel Panixtlahuaca,Alto,Medio,Medio,Muy bajo,,Alto,Medio,Medio,Medio,Medio,Medio
20273,sanmiguelperas,San Miguel Peras,Muy alto,Muy alto,Bajo,Muy bajo,Medio,Medio,Medio,Medio,Medio,Bajo,Medio
20274,sanmiguelpiedras,San Miguel Piedras,Alto,Muy alto,Muy bajo,Muy bajo,Medio,Medio,Medio,Medio,Medio,Bajo,Medio
20275,sanmiguelquetzaltepec,San Miguel Quetzaltepec,Alto,Alto,Muy bajo,Muy bajo,Muy bajo,Alto,Medio,Alto,Medio,Medio,Medio
20276,sanmiguelsantaflor,San Miguel Santa Flor,Muy alto,Muy alto,Muy bajo,Muy bajo,,Alto,Medio,Alto,Medio,Medio,Alto
20277,villasoladevega,Villa Sola de Vega,Alto,Alto,Bajo,Muy bajo,Alto,Medio,Medio,Alto,Medio,Medio,Muy bajo
20278,sanmiguelsoyaltepec,San Miguel Soyaltepec,Alto,Alto,Bajo,Muy bajo,Medio,Medio,Alto,Medio,Medio,Muy bajo,Medio
20279,sanmiguelsuchixtepec,San Miguel Suchixtepec,Medio,Medio,Medio,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Alto,Medio
20280,villataleadecastro,Villa Talea de Castro,Medio,Bajo,Bajo,Bajo,Alto,Medio,Medio,Alto,Medio,Alto,Medio
20281,sanmigueltecomatlan,San Miguel Tecomatlán,Bajo,Bajo,Medio,Bajo,,Medio,Medio,Alto,Medio,Medio,Medio
20282,sanmigueltenango,San Miguel Tenango,Alto,Medio,Bajo,Medio,,Medio,Medio,Alto,Medio,Bajo,Medio
20283,sanmigueltequixtepec,San Miguel Tequixtepec,Medio,Bajo,Bajo,Bajo,Medio,Medio,Medio,Alto,Medio,Medio,Alto
20284,sanmigueltilquiapam,San Miguel Tilquiápam,Muy alto,Muy alto,Medio,Muy bajo,,Alto,Medio,Alto,Medio,Bajo,Bajo
20285,sanmigueltlacamama,San Miguel Tlacamama,Alto,Medio,Bajo,Muy bajo,,Medio,Medio,Medio,Bajo,Medio,Medio
20286,sanmigueltlacotepec,San Miguel Tlacotepec,Alto,Medio,Bajo,Bajo,Medio,Medio,Medio,Medio,Medio,Bajo,Bajo
20287,sanmigueltulancingo,San Miguel Tulancingo,Medio,Bajo,Bajo,Medio,,Medio,Medio,Alto,Medio,Alto,Medio
20288,sanmiguelyotao,San Miguel Yotao,Alto,Alto,Bajo,Muy bajo,Alto,Medio,Medio,,Medio,Muy bajo,Alto
20289,sannicolas,San Nicolás,Alto,Medio,Muy bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Medio,Medio
20290,sannicolashidalgo,San Nicolás Hidalgo,Medio,Bajo,Muy bajo,Bajo,Medio,Medio,Medio,Medio,Medio,Bajo,Medio
20291,sanpablocoatlan,San Pablo Coatlán,Alto,Medio,Bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Medio,Alto
20292,sanpablocuatrovenados,San Pablo Cuatro Venados,Muy alto,Alto,Medio,Muy bajo,Alto,Medio,Medio,Alto,Medio,Medio,Bajo
20293,sanpabloetla,San Pablo Etla,Muy bajo,Muy bajo,Medio,Medio,,Bajo,Medio,Medio,Alto,Medio,Bajo
20294,sanpablohuitzo,San Pablo Huitzo,Muy bajo,Bajo,Medio,Bajo,Medio,Bajo,Medio,Alto,Medio,Medio,Bajo
20295,sanpablohuixtepec,San Pablo Huixtepec,Muy bajo,Bajo,Medio,Medio,Alto,Bajo,Medio,Medio,Medio,Medio,Bajo
20296,sanpablomacuiltianguis,San Pablo Macuiltianguis,Medio,Bajo,Bajo,Bajo,Alto,Medio,Alto,Medio,Medio,Medio,Alto
20297,sanpablotijaltepec,San Pablo Tijaltepec,Muy alto,Muy alto,Muy bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Alto
20298,sanpablovillademitla,San Pablo Villa de Mitla,Medio,Medio,Medio,Bajo,Medio,Medio,Medio,Medio,Medio,Medio,Bajo
20299,sanpabloyaganiza,San Pablo Yaganiza,Medio,Medio,Bajo,Bajo,Alto,Medio,Medio,Alto,Medio,Medio,Alto
20300,sanpedroamuzgos,San Pedro Amuzgos,Alto,Alto,Bajo,Muy bajo,,Medio,Alto,Medio,Medio,Bajo,Medio
20301,sanpedroapostol,San Pedro Apóstol,Medio,Bajo,Medio,Bajo,Alto,Medio,Alto,Alto,Medio,Medio,Medio
20302,sanpedroatoyac,San Pedro Atoyac,Muy alto,Alto,Bajo,Muy bajo,,Alto,Medio,Medio,Medio,Bajo,Alto
20303,sanpedrocajonos,San Pedro Cajonos,Medio,Medio,Bajo,Bajo,Alto,Medio,Medio,Alto,Medio,Medio,Bajo
20304,sanpedrocoxcaltepeccantaros,San Pedro Coxcaltepec Cántaros,Alto,Alto,Muy bajo,Muy bajo,Alto,Medio,Medio,Alto,Medio,Alto,Medio
20305,sanpedrocomitancillo,San Pedro Comitancillo,Bajo,Muy bajo,Medio,Bajo,Medio,Bajo,Medio,Medio,Medio,Bajo,Alto
20306,sanpedroelalto,San Pedro el Alto,Muy alto,Alto,Bajo,Muy bajo,,Alto,Medio,Alto,Medio,Bajo,Alto
20307,sanpedrohuamelula,San Pedro Huamelula,Alto,Alto,Bajo,Muy bajo,Alto,Medio,Medio,Medio,Bajo,Bajo,Medio
20308,sanpedrohuilotepec,San Pedro Huilotepec,Alto,Medio,Medio,Muy bajo,Medio,Medio,Medio,Alto,Bajo,Bajo,Medio
20309,sanpedroixcatlan,San Pedro Ixcatlán,Muy alto,Muy alto,Bajo,Muy bajo,Medio,Alto,Alto,Medio,Medio,Muy bajo,Alto
20310,sanpedroixtlahuaca,San Pedro Ixtlahuaca,Muy alto,Medio,Medio,Muy bajo,Bajo,Bajo,Medio,Alto,Medio,Bajo,Bajo
20311,sanpedrojaltepetongo,San Pedro Jaltepetongo,Muy alto,Alto,Bajo,Muy bajo,Alto,Alto,Medio,Alto,Medio,Alto,Alto
20312,sanpedrojicayan,San Pedro Jicayán,Muy alto,Alto,Bajo,Muy bajo,Muy bajo,Medio,Medio,Medio,Medio,Muy bajo,Bajo
20313,sanpedrojocotipac,San Pedro Jocotipac,Alto,Alto,Bajo,Muy bajo,,Alto,Medio,Alto,Medio,Medio,Alto
20314,sanpedrojuchatengo,San Pedro Juchatengo,Medio,Bajo,Bajo,Medio,,Medio,Medio,Alto,Medio,Alto,Bajo
20315,sanpedromartir,San Pedro Mártir,Muy alto,Muy alto,Bajo,Muy bajo,Alto,Medio,Medio,Alto,Alto,Bajo,Bajo
20316,sanpedromartirquiechapa,San Pedro Mártir Quiechapa,Medio,Medio,Bajo,Muy bajo,Alto,Bajo,Medio,Alto,Medio,Muy bajo,Medio
20317,sanpedromartiryucuxaco,San Pedro Mártir Yucuxaco,Alto,Alto,Bajo,Muy bajo,,Bajo,Medio,Alto,Medio,Medio,Bajo
20318,sanpedromixtepec,San Pedro Mixtepec,Bajo,Bajo,Medio,Medio,Alto,Muy alto,Medio,Medio,Bajo,Medio,Bajo
20319,sanpedromixtepec,San Pedro Mixtepec,Alto,Alto,Muy bajo,Muy bajo,,Bajo,Medio,Alto,Medio,Medio,Medio
20320,sanpedromolinos,San Pedro Molinos,Medio,Medio,Bajo,Muy bajo,,Medio,Alto,Medio,Medio,Medio,Medio
20321,sanpedronopala,San Pedro Nopala,Alto,Medio,Bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Muy bajo,Medio
20322,sanpedroocopetatillo,San Pedro Ocopetatillo,Muy alto,Muy alto,Muy bajo,Muy bajo,Alto,Alto,Medio,Medio,Medio,Bajo,Alto
20323,sanpedroocotepec,San Pedro Ocotepec,Alto,Alto,Muy bajo,Muy bajo,Medio,Medio,Medio,Medio,Medio,Medio,Alto
20324,sanpedropochutla,San Pedro Pochutla,Alto,Medio,Medio,Muy bajo,Alto,Medio,Medio,Medio,Medio,Bajo,Bajo
20325,sanpedroquiatoni,San Pedro Quiatoni,Muy alto,Alto,Bajo,Muy bajo,Bajo,Medio,Medio,Medio,Medio,Medio,Medio
20326,sanpedrosochiapam,San Pedro Sochiápam,Alto,Alto,Muy bajo,Muy bajo,Muy bajo,Alto,Medio,Alto,Medio,Muy bajo,Medio
20327,sanpedrotapanatepec,San Pedro Tapanatepec,Medio,Bajo,Bajo,Muy bajo,Alto,Medio,Medio,Medio,Medio,Bajo,Bajo
20328,sanpedrotaviche,San Pedro Taviche,Alto,Alto,Muy bajo,Muy bajo,Medio,Medio,Medio,Medio,Medio,Bajo,Medio
20329,sanpedroteozacoalco,San Pedro Teozacoalco,Alto,Alto,Muy bajo,Muy bajo,,Medio,Medio,Medio,Medio,Bajo,Medio
20330,sanpedroteutila,San Pedro Teutila,Alto,Alto,Bajo,Muy bajo,Medio,Medio,Medio,Medio,Medio,Muy bajo,Alto
20331,sanpedrotidaa,San Pedro Tidaá,Alto,Alto,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Alto
20332,sanpedrotopiltepec,San Pedro Topiltepec,Medio,Bajo,Medio,Bajo,Alto,Bajo,Medio,Alto,Medio,Medio,Alto
20333,sanpedrototolapam,San Pedro Totolápam,Bajo,Bajo,Medio,Bajo,,Medio,Medio,Alto,Medio,Medio,Medio
20334,villadetututepec,Villa de Tututepec,Medio,Medio,Medio,Bajo,Medio,Medio,Medio,Medio,Bajo,Bajo,Medio
20335,sanpedroyaneri,San Pedro Yaneri,Alto,Alto,Muy bajo,Muy bajo,Alto,Medio,Medio,Alto,Medio,Alto,Alto
20336,sanpedroyolox,San Pedro Yólox,Medio,Bajo,Bajo,Bajo,Medio,Medio,Medio,Alto,Medio,Alto,Alto
20337,sanpedroysanpabloayutla,San Pedro y San Pablo Ayutla,Muy alto,Muy alto,Bajo,Muy bajo,Muy bajo,Alto,Alto,Medio,Medio,Medio,Medio
20338,villadeetla,Villa de Etla,Muy bajo,Muy bajo,Medio,Medio,Medio,Bajo,Medio,Medio,Medio,Medio,Bajo
20339,sanpedroysanpabloteposcolula,San Pedro y San Pablo Teposcolula,Bajo,Bajo,Medio,Bajo,Medio,Bajo,Alto,Medio,Medio,Medio,Medio
20340,sanpedroysanpablotequixtepec,San Pedro y San Pablo Tequixtepec,Medio,Medio,Bajo,Bajo,Bajo,Medio,Medio,Alto,Medio,Bajo,Medio
20341,sanpedroyucunama,San Pedro Yucunama,Medio,Medio,Bajo,Bajo,,Bajo,Medio,Alto,Medio,Medio,Medio
20342,sanraymundojalpan,San Raymundo Jalpan,Muy bajo,Muy bajo,Medio,Medio,Medio,Bajo,Alto,Medio,Alto,Medio,Medio
20343,sansebastianabasolo,San Sebastián Abasolo,Medio,Bajo,Medio,Bajo,Alto,Bajo,Medio,Alto,Medio,Medio,Bajo
20344,sansebastiancoatlan,San Sebastián Coatlán,Alto,Alto,Bajo,Muy bajo,Alto,Medio,Medio,Alto,Medio,Bajo,Medio
20345,sansebastianixcapa,San Sebastián Ixcapa,Alto,Medio,Bajo,Muy bajo,,Medio,Alto,Medio,Medio,Bajo,Medio
20346,sansebastiannicananduta,San Sebastián Nicananduta,Alto,Medio,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Muy bajo,Medio
20347,sansebastianriohondo,San Sebastián Río Hondo,Medio,Alto,Bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Medio,Medio
20348,sansebastiantecomaxtlahuaca,San Sebastián Tecomaxtlahuaca,Alto,Medio,Bajo,Bajo,Muy bajo,Medio,Alto,Medio,Medio,Bajo,Bajo
20349,sansebastianteitipac,San Sebastián Teitipac,Alto,Medio,Medio,Muy bajo,,Medio,Medio,Medio,Medio,Medio,Bajo
20350,sansebastiantutla,San Sebastián Tutla,Muy bajo,Muy bajo,Alto,Alto,Alto,Bajo,Medio,Medio,Alto,Alto,Bajo
20351,sansimonalmolongas,San Simón Almolongas,Alto,Medio,Bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Medio,Medio
20352,sansimonzahuatlan,San Simón Zahuatlán,Muy alto,Muy alto,Bajo,Muy bajo,,Alto,Alto,,Bajo,Muy bajo,Muy bajo
20353,santaana,Santa Ana,Alto,Medio,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Medio
20354,santaanaateixtlahuaca,Santa Ana Ateixtlahuaca,Muy alto,Muy alto,Muy bajo,Muy bajo,,Alto,Medio,Alto,Medio,Bajo,Muy bajo
20355,santaanacuauhtemoc,Santa Ana Cuauhtémoc,Alto,Alto,Muy bajo,Muy bajo,,Alto,Medio,Alto,Medio,Bajo,Alto
20356,santaanadelvalle,Santa Ana del Valle,Medio,Medio,Medio,Bajo,Alto,Medio,Alto,Medio,Medio,Medio,Muy bajo
20357,santaanatavela,Santa Ana Tavela,Medio,Alto,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Medio
20358,santaanatlapacoyan,Santa Ana Tlapacoyan,Alto,Medio,Bajo,Bajo,,Medio,Medio,Alto,Medio,Bajo,Bajo
20359,santaanayareni,Santa Ana Yareni,Alto,Alto,Muy bajo,Muy bajo,,Medio,Medio,Alto,Medio,Medio,Medio
20360,santaanazegache,Santa Ana Zegache,Alto,Medio,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Bajo
20361,santacatalinaquieri,Santa Catalina Quierí,Alto,Alto,Muy bajo,Muy bajo,Alto,Medio,Medio,Muy alto,Medio,Medio,Alto
20362,santacatarinacuixtla,Santa Catarina Cuixtla,Medio,Bajo,Medio,Bajo,Alto,Medio,Medio,Alto,Medio,Alto,Medio
20363,santacatarinaixtepeji,Santa Catarina Ixtepeji,Medio,Bajo,Bajo,Bajo,Medio,Bajo,Medio,Alto,Medio,Medio,Bajo
20364,santacatarinajuquila,Santa Catarina Juquila,Alto,Medio,Bajo,Bajo,Alto,Medio,Medio,Medio,Medio,Medio,Medio
20365,santacatarinalachatao,Santa Catarina Lachatao,Medio,Medio,Bajo,Bajo,Alto,Bajo,Medio,Alto,Medio,Alto,Medio
20366,santacatarinaloxicha,Santa Catarina Loxicha,Alto,Alto,Bajo,Muy bajo,Medio,Medio,Medio,Medio,Medio,Bajo,Medio
