clave_mun,municipio,poblacion,pob_indigena,pob_afrodescendiente,pob_analfabeta,pob_discapacidad,viviendas,viv_internet,viv_computadoras,viv_celular,ind_rez_social,grad_rez_social,ind_margi,ind_margi_norm,grad_margi,pobr,pobr_ext,pobr_mod,pob_vuln_carencias,pob_vuln_ingresos,pob_no_vuln,rez_educativo,pob_car_hogar,pob_car_salud,pob_car_seg_social,pob_car_ser_basicos,pob_car_alimentacion,pob_car_al_una,pon_car_al_tres,pob_bajo_linea_asist,pob_bajo_linea_min_asist,gini,tasa_ingresos,cama_hospital,cama_fuera_hospital,cama_rec_nac,consultorios,equipamento,medicos_otros,medicos_gen_esp_odont,otro_pers,otro_pers_prof,enfermeria_contac_paciente,enfermeria_otras,medicos_adiest,per_tecnico,total_elementos_salud,por_mas_15_analfabeta,tasa_alfa_1524,grad_escol_prom_15
20493,Santiago Tillo,545,30,3,26,52,175,60,23,149,-0.319924,Bajo,54.94982932,0.860437852,Bajo,371,78,292,116,22,36,90,115,97,395,218,144,487,166,393,175,0.3905486663,0.1625566632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.8,98.9,8
20494,Santiago Tlazoyaltepec,6300,6048,72,875,491,1297,169,72,590,2.09343,Muy alto,48.59275979,0.760894991,Muy alto,6215,3708,2507,84,4,0,2054,2606,1113,5093,6143,1323,6299,4059,6219,5606,0.3621466657,0.1837960035,0,0,0,6,0,0,6,0,0,3,0,0,1,16,81.7,99.1,6.2
20495,Santiago Xanica,3029,2152,146,423,253,809,70,33,215,2.452754,Muy alto,47.56927142,0.744868587,Muy alto,2857,1583,1274,151,17,5,1354,1246,518,2630,2849,1257,3008,2181,2874,2080,0.3446013331,0.1494713326,0,0,0,2,0,0,0,0,0,0,0,1,0,3,93.8,98.5,8.3
20496,Santiago Xiacuí,1893,424,6,39,227,537,197,108,318,-0.529182,Bajo,55.94228941,0.875978396,Bajo,1204,172,1033,459,86,144,273,218,317,1438,646,234,1663,337,1291,568,0.376544327,0.1719786674,0,2,0,2,0,0,2,0,0,1,0,2,0,9,79,98.9,6.3
20497,Santiago Yaitepec,4233,4202,276,1184,191,954,91,41,653,2.170316,Muy alto,46.85245202,0.733644193,Muy alto,4152,2806,1346,81,0,2,2397,1497,1149,3857,4033,1371,4233,3249,4153,3533,0.3891473313,0.136880666,0,0,0,3,0,0,1,0,0,3,0,0,0,7,78.7,98.2,5.4
20498,Santiago Yaveo,7593,3411,67,820,565,2082,202,106,1209,1.132662,Alto,47.51125668,0.743960157,Muy alto,6030,2228,3802,1534,9,24,2556,1942,1690,6828,6120,3404,7564,4833,6039,2926,0.3495819966,0.1822143346,0,0,0,3,0,0,5,1,0,9,0,2,0,20,97.1,99.3,8.7
20499,Santiago Yolomécatl,1922,180,62,48,85,539,132,153,465,-0.485442,Bajo,55.64867652,0.871380827,Bajo,1004,143,860,538,121,260,254,278,323,1146,506,383,1542,335,1125,455,0.424341013,0.1441490004,0,0,0,3,1,0,3,2,0,4,0,2,1,16,56.4,91.7,4
20500,Santiago Yosondúa,7991,3366,55,679,565,2397,327,113,828,1.164142,Alto,51.07944668,0.799833047,Alto,6978,2108,4870,778,117,122,2279,1651,801,5860,6493,1596,7756,3227,7095,4591,0.3935143352,0.1329540014,0,0,0,3,0,0,2,0,1,7,0,2,1,16,84.5,98.1,6.5
20501,Santiago Yucuyachi,998,257,0,152,144,327,15,25,168,0.128714,Medio,52.55392671,0.822921352,Alto,682,150,532,283,12,21,397,90,219,738,550,254,965,396,694,287,0.3791483343,0.1325173303,0,0,0,1,0,0,1,0,0,2,0,0,0,4,96.6,100,9.3
20502,Santiago Zacatepec,5089,5052,44,1023,290,1426,182,76,860,2.817036,Muy alto,45.79400754,0.717070425,Muy alto,4746,3036,1710,326,9,10,2303,2914,660,4390,4989,2610,5072,4062,4755,3539,0.3722079992,0.1551933338,0,2,0,6,0,0,5,0,0,9,0,5,0,27,87.9,98.4,6.7
20503,Santiago Zoochila,425,392,0,31,113,124,29,17,57,-0.509938,Bajo,55.05676404,0.862112301,Bajo,354,53,302,56,10,4,100,36,129,338,105,68,411,98,365,201,0.3224293292,0.2191720009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.3,97.6,5.6
