Clave municipio,Municipio,Población total,Localidades por municipio,Población de 3 a 5 años,Población de 6 a 11 años,Población de 8 a 14 años,Población de 15 años y más,Población de 15 años y más sin escolaridad,Población de 15 años y más con primaria incompleta,Población de 15 años y más con secundaria incompleta,Población de 3 años y más que habla alguna lengua indígena,Población de 3 años y más que habla alguna lengua indígena y no habla español,Población que se considera afromexicana o afrodescendiente,Población con discapacidad,Población de 3 a 5 años que no asiste a la escuela,Población de 6 a 11 años que no asiste a la escuela,Población de 12 a 14 años que no asiste a la escuela,Población de 15 años y más analfabeta,Grado promedio de escolaridad,Total de viviendas,Total de viviendas habitadas,SBASC,OVSDE,OVSEE,OVSAE,OVPT,VHAC,PL.5000,PO2SM,IM_2020,GM_2020,IMN_2020,Lugar que ocupa en el contexto estatal,Lugar que ocupa en el contexto nacional,Escuelas Prees,Alumnos Prees,Docentes Prees,Total de grupos Prescolar,Grupos Multi Grado Prees,Escuelas Prim,Alumnos Prim,Docentes Prim,Nuevo Ingreso Prim,Total de grupos Primaria,Grupos Multi Grado Prim,Escuelas Sec,Alumnos Sec,Docentes Sec,Nuevo Ingreso  Sec,Total de grupos Secundaria,Grupos Multi Grado Sec,Tasa de analfabetización,Tasa de Escolarización Preescolar,Tasa de Escolarización Primaria,Tasa de Escolarización Secundaria,Rezago Educativo,Tasa de grupos multigrado Preescolar,Tasa de grupos multigrado Primaria,Tasa de grupos multigrado Secundaria ,Indice de dispersion Preescolar,Indice de dispersion Primaria,Indice de dispersion Secundaria,Clasificacion Escolaridad Preescolar,Clasificacion Escolaridad Primaria,Clasificacion Escolaridad Secundaria,Clasificación dispersión educativa Preescolar,Clasificación dispersión educativa Primaria,Clasificación dispersión educativa Secundaria
20001,abejones,841,1,41,90,132,610,87,121,16,768,50,1,43,4,1,3,132,6.95,412,217,52.6315789473684,0.121359223300971,1.09223300970874,0.121359223300971,13.4708737864078,24.537036895752,100.0,94.0476190476191,52.0519309696566,Alto,0.815060796984778,286,658,1,37,2,2,2,1,85,7,85,7,0,1,46,4,45,6,0,21.63934426,90.24390244,94.44444444,34.84848485,44.09836066,100.0,0.0,0.0,1.0,1.0,1.0,Alto,Alto,Bajo,Bajo,Bajo,Bajo
20002,acatlán de pérez figueroa,45167,129,2649,4908,5705,32800,4174,5879,1320,4726,199,316,3467,973,184,208,4198,7.33,16098,13012,50.3439457977988,4.00859776635348,1.13233469243042,8.58447083850381,8.51134550611594,27.4021072387695,70.4098124737087,88.4157177647601,52.9517543076979,Medio,0.829150778151412,350,867,55,1890,125,123,37,67,4383,262,4325,276,109,39,2373,158,2372,148,9,12.79878049,71.34767837,89.30317848,41.59509202,34.74695122,30.08130081,39.49275362,6.081081081,2.345454545,1.925373134,3.307692308,Medio,Alto,Bajo,Bajo,Bajo,Medio
20003,asunción cacalotepec,2547,12,137,261,338,1859,271,355,50,2285,512,0,121,31,6,7,385,6.73,1282,795,56.0043080236941,1.2764260071799,3.3905065815716,7.77822098125249,24.8105305145592,27.2040309906006,100.0,90.4761904761905,49.9452112764873,Alto,0.78207249856528,160,344,5,144,7,7,4,7,274,20,273,28,18,3,108,9,108,9,0,20.71005917,105.1094891,104.9808429,31.95266272,42.49596557,57.14285714,64.28571429,0.0,2.4,1.714285714,4.0,Alto,Alto,Bajo,Bajo,Bajo,Medio
